Time 1 (Days),Sample Strength (mPA),Time 2 (sec),Test Strength (mPA)
0,0,0,0
0.25,9,0.25,11.4
0.5,11.3,0.5,13.1
0.75,13.7,0.75,14.8
1,15.5,1,16.1
1.25,18.8,1.25,18.4
1.5,23.4,1.5,21.7
1.75,25.2,1.75,23
2,27.1,2,24.4
2.25,28.5,2.25,25.4
2.5,30.2,2.5,26.6
2.75,32.4,2.75,28.1
3,33.6,3,29
3.25,37.6,3.25,31.9
3.5,35.7,3.5,30.5
3.75,35.1,3.75,30.1
4,37.8,4,32
4.25,38.8,4.25,32.7
4.5,40.4,4.5,33.9
4.75,40.1,4.75,33.6
5,40.7,5,34.1
5.25,42.5,5.25,35.4
5.5,40.8,5.5,34.1
5.75,41.9,5.75,34.9
6,42.9,6,35.6
6.25,43,6.25,35.7
6.5,43.4,6.5,36
6.75,44.2,6.75,36.6
7,44.5,7,36.8
7.25,45,7.25,37.1
7.5,44.7,7.5,36.9
7.75,45.2,7.75,37.3
8,45.8,8,37.7
8.25,46.9,8.25,38.5
8.5,46.6,8.5,38.3
8.75,46.1,8.75,37.9
9,46.9,9,38.5
9.25,47.2,9.25,38.7
9.5,47.5,9.5,38.9
9.75,47.7,9.75,39.1
10,47.8,10,39.1
10.25,48.4,10.25,39.6
10.5,48.4,10.5,39.6
10.75,47.9,10.75,39.2
11,48.5,11,39.6
11.25,48.6,11.25,39.7
11.5,48.8,11.5,39.9
11.75,48.5,11.75,39.6
12,49.1,12,40.1
12.25,49.4,12.25,40.3
12.5,49.5,12.5,40.4
12.75,49.2,12.75,40.1
13,49.7,13,40.5
13.25,50.1,13.25,40.8
13.5,49.7,13.5,40.5
13.75,50,13.75,40.7
14,50.2,14,40.9
14.25,50.4,14.25,41
14.5,50.4,14.5,41
14.75,50.2,14.75,40.9
15,50.5,15,41.1
15.25,50.6,15.25,41.1
15.5,50.7,15.5,41.2
15.75,50.7,15.75,41.2
16,50.9,16,41.4
16.25,51.2,16.25,41.6
16.5,51.1,16.5,41.5
16.75,51,16.75,41.4
17,51.2,17,41.6
17.25,51.2,17.25,41.6
17.5,51.4,17.5,41.7
17.75,51.3,17.75,41.6
18,51.5,18,41.8
18.25,51.8,18.25,42
18.5,51.7,18.5,41.9
18.75,51.6,18.75,41.9
19,51.8,19,42
19.25,3,19.25,7.1
19.5,51.8,19.5,42
19.75,52,19.75,42.1
20,52,20,42.1
20.25,52.1,20.25,42.2
20.5,52.2,20.5,42.3
20.75,52,20.75,42.1
21,52.3,21,42.4
21.25,52.5,21.25,42.5
21.5,52.3,21.5,42.4
21.75,52.3,21.75,42.4
22,52.5,22,42.5
22.25,52.6,22.25,42.6
22.5,52.6,22.5,42.6
22.75,52.6,22.75,42.6
23,52.7,23,42.6
23.25,52.8,23.25,42.7
23.5,52.7,23.5,42.6
23.75,52.7,23.75,42.6
24,52.8,24,42.7
24.25,52.9,24.25,42.8
24.5,52.9,24.5,42.8
24.75,52.8,24.75,42.7
25,53,25,42.9
25.25,53.1,25.25,42.9
25.5,53,25.5,42.9
25.75,53,25.75,42.9
26,53.1,26,42.9
26.25,53.2,26.25,43
26.5,53.2,26.5,43
26.75,53.2,26.75,43
27,53.3,27,43.1
27.25,53.3,27.25,43.1
27.5,53.4,27.5,43.1
27.75,53.3,27.75,43.1
28,53.4,28,43.1
