Time (sec)	Heart Rate (BPM)	Time2 (sec)	Heart Rate2 (BPM)
0	103	0	91
5	103	5	91
10	103	10	91
15	105	15	95
20	108	20	101
25	110	25	105
30	110	30	105
35	112	35	109
40	112	40	109
45	114	45	113
50	114	50	113
55	117	55	119
60	117	60	119
65	118	65	121
70	119	70	123
75	119	75	123
80	120	80	125
85	121	85	127
90	121	90	127
95	122	95	129
100	123	100	131
105	124	105	133
110	124	110	133
115	125	115	135
120	126	120	137
125	127	125	139
130	128	130	141
135	127	135	139
140	128	140	141
145	128	145	141
150	129	150	143
155	129	155	143
160	130	160	145
165	131	165	147
170	132	170	149
175	132	175	149
180	132	180	149
185	133	185	151
190	134	190	153
195	135	195	155
200	135	200	155
205	135	205	155
210	135	210	155
215	136	215	157
220	136	220	157
225	136	225	157
230	137	230	159
235	137	235	159
240	137	240	159
245	137	245	159
250	138	250	161
255	138	255	161
260	138	260	161
265	138	265	161
270	139	270	163
275	138	275	161
280	138	280	161
285	138	285	161
290	138	290	161
295	138	295	161
300	138	300	161
305	138	305	161
310	138	310	161
315	139	315	163
320	140	320	165
325	141	325	167
330	141	330	167
335	141	335	167
340	141	340	167
345	142	345	169
350	141	350	167
355	142	355	169
360	142	360	169
365	143	365	171
370	143	370	171
375	143	375	171
380	143	380	171
385	144	385	173
390	144	390	173
395	144	395	173
400	145	400	175
405	144	405	173
410	145	410	175
415	144	415	173
420	145	420	175
425	145	425	175
430	144	430	173
435	144	435	173
440	144	440	173
445	144	445	173
450	145	450	175
455	144	455	173
460	144	460	173
465	144	465	173
470	145	470	175
475	145	475	175
480	146	480	177
485	147	485	179
490	147	490	179
495	147	495	179
500	147	500	179
505	147	505	179
510	147	510	179
515	147	515	179
520	147	520	179
525	147	525	179
530	147	530	179
535	147	535	179
540	147	540	179
545	147	545	179
550	147	550	179
555	147	555	179
560	146	560	177
565	147	565	179
570	146	570	177
575	146	575	177
580	146	580	177
585	146	585	177
590	147	590	179
595	147	595	179
600	147	600	179
605	148	605	181
610	148	610	181
615	148	615	181
620	147	620	179
625	147	625	179
630	148	630	181
635	148	635	181
640	148	640	181
645	148	645	181
650	148	650	181
655	148	655	181
660	147	660	179
665	148	665	181
670	147	670	179
675	148	675	181
680	148	680	181
685	149	685	183
690	148	690	181
695	148	695	181
700	149	700	183
705	149	705	183
710	149	710	183
715	149	715	183
720	149	720	183
725	149	725	183
730	149	730	183
735	150	735	185
740	150	740	185
745	150	745	185
750	150	750	185
755	150	755	185
760	150	760	185
765	150	765	185
770	149	770	183
775	149	775	183
780	149	780	183
785	149	785	183
790	149	790	183
795	149	795	183
800	148	800	181
805	149	805	183
810	149	810	183
815	149	815	183
820	149	820	183
825	149	825	183
830	149	830	183
835	149	835	183
840	148	840	181
845	148	845	181
850	148	850	181
855	149	855	183
860	150	860	185
865	151	865	187
870	151	870	187
875	151	875	187
880	151	880	187
885	150	885	185
890	151	890	187
895	151	895	187
900	149	900	183
905	147	905	179
910	146	910	177
915	147	915	179
920	150	920	185
925	152	925	189
930	153	930	191
935	153	935	191
940	153	940	191
945	152	945	189
950	152	950	189
955	151	955	187
960	151	960	187
965	152	965	189
970	152	970	189
975	151	975	187
980	152	980	189
985	152	985	189
990	152	990	189
995	153	995	191
1000	153	1000	191
1005	153	1005	191
1010	153	1010	191
1015	152	1015	189
1020	152	1020	189
1025	152	1025	189
1030	152	1030	189
1035	152	1035	189
1040	152	1040	189
1045	153	1045	191
1050	152	1050	189
1055	152	1055	189
1060	153	1060	191
1065	153	1065	191
1070	153	1070	191
1075	153	1075	191
1080	152	1080	189
1085	152	1085	189
1090	151	1090	187
1095	152	1095	189
1100	152	1100	189
1105	152	1105	189
1110	153	1110	191
1115	153	1115	191
1120	153	1120	191
1125	153	1125	191
1130	153	1130	191
1135	153	1135	191
1140	153	1140	191
1145	153	1145	191
1150	153	1150	191
1155	152	1155	189
1160	152	1160	189
1165	152	1165	189
1170	152	1170	189
1175	153	1175	191
1180	153	1180	191
1185	154	1185	193
1190	154	1190	193
1195	154	1195	193
1200	154	1200	193
